,teamID,franchID,name,city,state,primary_franchise,Active
108,MLA,BAL,Milwaukee Brewers,Milwaukee,WI,Baltimore Orioles,Y
109,PHA,OAK,Philadelphia Athletics,Philadelphia,PA,Oakland Athletics,Y
110,WS1,MIN,Washington Senators,Washington DC,DC,Minnesota Twins,Y
111,SLA,BAL,St. Louis Browns,St. Louis,MO,Baltimore Orioles,Y
112,NYA,NYY,New York Highlanders,New York,NY,New York Yankees,Y
113,BLF,BLT,Baltimore Terrapins,Baltimore,MD,Baltimore Terrapins,N
114,BRF,BTT,Brooklyn Tip-Tops,Brooklyn,NY,Brooklyn Tip-Tops,N
115,BUF,BFL,Buffalo Buffeds,Buffalo,NY,Buffalo Buffeds,N
116,CHF,CHH,Chicago Chi-Feds,Chicago,IL,Chicago Chi-Feds,N
117,IND,NEW,Indianapolis Hoosiers,Indianapolis,IN,Newark Pepper,N
118,KCF,KCP,Kansas City Packers,Kansas City,MO,Kansas City Packers,N
119,PTF,PBS,Pittsburgh Rebels,Pittsburgh,PA,Pittsburgh Rebels,N
120,SLF,SLI,St. Louis Terriers,St. Louis,MO,St. Louis Terriers,N
121,NEW,NEW,Newark Pepper,Newark,NJ,Newark Pepper,N
122,ML1,ATL,Milwaukee Braves,Milwaukee,WI,Atlanta Braves,Y
123,BAL,BAL,Baltimore Orioles,Baltimore,MD,Baltimore Orioles,Y
124,KC1,OAK,Kansas City Athletics,Kansas City,MO,Oakland Athletics,Y
125,LAN,LAD,Los Angeles Dodgers,Los Angeles,CA,Los Angeles Dodgers,Y
126,SFN,SFG,San Francisco Giants,San Francisco,CA,San Francisco Giants,Y
127,LAA,ANA,Los Angeles Angels,Anaheim,CA,Los Angeles Angels,Y
128,MIN,MIN,Minnesota Twins,Minneapolis,MN,Minnesota Twins,Y
129,WS2,TEX,Washington Senators,Washington DC,DC,Texas Rangers,Y
130,HOU,HOU,Houston Colt .45's,Houston,TX,Houston Colt .45's,Y
131,NYN,NYM,New York Mets,New York,NY,New York Mets,Y
132,CAL,ANA,California Angels,Anaheim,CA,Los Angeles Angels,Y
133,ATL,ATL,Atlanta Braves,Atlanta,GA,Atlanta Braves,Y
134,OAK,OAK,Oakland Athletics,Oakland,CA,Oakland Athletics,Y
135,KCA,KCR,Kansas City Royals,Kansas City,MO,Kansas City Royals,Y
136,SE1,MIL,Seattle Pilots,Seattle,WA,Milwaukee Brewers,Y
137,MON,WSN,Montreal Expos,Montreal,QC,Washington Nationals,Y
138,SDN,SDP,San Diego Padres,San Diego,CA,San Diego Padres,Y
139,ML4,MIL,Milwaukee Brewers,Milwaukee,WI,Milwaukee Brewers,Y
140,TEX,TEX,Texas Rangers,Arlington,TX,Texas Rangers,Y
141,SEA,SEA,Seattle Mariners,Seattle,WA,Seattle Mariners,Y
142,TOR,TOR,Toronto Blue Jays,Toronto,ON,Toronto Blue Jays,Y
143,COL,COL,Colorado Rockies,Denver,CO,Colorado Rockies,Y
144,FLO,FLA,Florida Marlins,Miami,FL,Florida Marlins,Y
145,ANA,ANA,Anaheim Angels,Anaheim,CA,Los Angeles Angels,Y
146,TBA,TBD,Tampa Bay Devil Rays,Tampa,FL,Tampa Bay Devil Rays,Y
147,ARI,ARI,Arizona Diamondbacks,Phoenix,AZ,Arizona Diamondbacks,Y
148,MIL,MIL,Milwaukee Brewers,Milwaukee,WI,Milwaukee Brewers,Y
149,WAS,WSN,Washington Nationals,Washington DC,DC,Washington Nationals,Y
